id,name,surname,dob,classroomId
1,Luca,Rossi,2009-03-27,1
2,Giulia,Bianchi,2006-04-11,2
3,Marco,Esposito,2005-10-16,3
4,Sara,Ferrari,2007-03-12,1
5,Matteo,Romano,2007-01-09,2
6,Francesca,Gallo,2006-11-26,3
7,Davide,Costa,2006-06-07,1
8,Chiara,Fontana,2006-03-23,2
9,Alessandro,Greco,2009-06-11,3
10,Martina,Conti,2008-09-15,1
11,Federico,Mancini,2006-02-20,2
12,Elisa,Lombardi,2008-12-17,3
13,Andrea,Moretti,2008-01-07,1
14,Valentina,Giordano,2005-10-30,2
15,Gabriele,Rizzo,2005-10-26,3
16,Ilaria,De Luca,2006-03-05,1
17,Simone,Bruno,2006-11-16,2
18,Alice,Marino,2006-12-15,3
19,Riccardo,Galli,2008-06-25,1
20,Elena,Barbieri,2009-01-09,2
21,Giorgio,Martini,2005-10-19,3
22,Noemi,Vitale,2008-10-18,1
23,Pietro,Lombardo,2006-10-07,2
24,Aurora,Serra,2009-04-17,3
25,Nicola,Caruso,2009-08-01,1
26,Silvia,Ferrara,2008-09-15,2
27,Edoardo,Ferri,2008-01-02,3
28,Beatrice,Colombo,2006-11-20,1
29,Tommaso,Palmieri,2008-03-02,2
30,Camilla,Gentile,2008-12-14,3
31,Michele,Santoro,2007-03-18,1
32,Laura,Bianco,2005-09-08,2
33,Fabio,Longo,2006-07-18,3
34,Roberta,Leone,2009-07-25,1
35,Stefano,Rinaldi,2008-01-08,2
36,Marta,Sartori,2007-07-23,3
37,Paolo,Bellini,2007-03-18,1
38,Veronica,Mariani,2006-07-10,2
39,Daniele,Testa,2006-11-09,3
40,Claudia,Valentini,2007-07-16,1
